,labelId,imageId,taskId,labelName,taskName,tasknum,task1,task2
13313,41,9473,3,pink,shoe:color,2,shoe,color
13316,34,9476,35,long,dress:sleeve length,2,dress,sleeve length
13317,171,9476,14,casual,dress:occasion,2,dress,occasion
13318,84,9477,17,gold,outerwear:color,2,outerwear,color
13319,1,9478,15,men,outerwear:gender,2,outerwear,gender
13320,2,9478,20,adult,outerwear:age,2,outerwear,age
13321,60,9478,13,parka,outerwear:type,2,outerwear,type
13322,26,9479,14,wedding,dress:occasion,2,dress,occasion
13323,77,9479,5,beading,dress:decoration,2,dress,decoration
13324,24,9479,7,lace,dress:material,2,dress,material
13327,233,9482,5,feathers,dress:decoration,2,dress,decoration
13331,4,9486,15,women,outerwear:gender,2,outerwear,gender
13332,2,9486,20,adult,outerwear:age,2,outerwear,age
13333,121,9486,17,dark green,outerwear:color,2,outerwear,color
13334,71,9486,13,jackets,outerwear:type,2,outerwear,type
13335,39,9486,17,green,outerwear:color,2,outerwear,color
13336,39,9487,17,green,outerwear:color,2,outerwear,color
13338,196,9489,14,prom,dress:occasion,2,dress,occasion
13339,124,9489,7,jacquard,dress:material,2,dress,material
13343,234,9493,8,high low,dress:silhouette,2,dress,silhouette
13344,131,9494,18,platforms,shoe:heel type,2,shoe,heel type
13345,130,9494,30,platform,shoe:decoration,2,shoe,decoration
13346,130,9494,41,platform,shoe:back counter type,2,shoe,back counter type
13353,27,9497,13,coats,outerwear:type,2,outerwear,type
13354,111,9497,17,gray,outerwear:color,2,outerwear,color
13355,34,9497,27,long,outerwear:length,2,outerwear,length
13356,68,9498,30,led,shoe:decoration,2,shoe,decoration
13359,8,9500,7,velvet,dress:material,2,dress,material
13362,64,9503,36,satin,shoe:material,2,shoe,material
13363,336,9504,36,rubber,shoe:material,2,shoe,material
13364,40,9505,3,silver,shoe:color,2,shoe,color
13365,7,9506,6,purple,dress:color,2,dress,color
13366,195,9507,5,slit,dress:decoration,2,dress,decoration
13367,41,9507,6,pink,dress:color,2,dress,color
13368,144,9508,23,pants,pants:type,2,pants,type
13373,336,9513,36,rubber,shoe:material,2,shoe,material
13376,42,9516,29,kids,dress:age,2,dress,age
13377,340,9517,14,street,dress:occasion,2,dress,occasion
13379,42,9519,29,kids,dress:age,2,dress,age
13380,4,9520,15,women,outerwear:gender,2,outerwear,gender
13381,60,9520,13,parka,outerwear:type,2,outerwear,type
13384,27,9523,13,coats,outerwear:type,2,outerwear,type
13385,101,9523,21,wool,outerwear:material,2,outerwear,material
13386,2,9523,20,adult,outerwear:age,2,outerwear,age
13388,21,9525,14,party,dress:occasion,2,dress,occasion
13389,215,9525,14,summer,dress:occasion,2,dress,occasion
13390,26,9526,14,wedding,dress:occasion,2,dress,occasion
13391,24,9526,5,lace,dress:decoration,2,dress,decoration
13393,113,9528,7,denim,dress:material,2,dress,material
13394,23,9529,3,red,shoe:color,2,shoe,color
13396,1,9531,1,men,shoe:gender,2,shoe,gender
13397,2,9531,2,adult,shoe:age,2,shoe,age
13398,27,9532,13,coats,outerwear:type,2,outerwear,type
13399,2,9533,2,adult,shoe:age,2,shoe,age
13400,1,9533,1,men,shoe:gender,2,shoe,gender
13401,37,9533,3,white,shoe:color,2,shoe,color
13402,18,9534,4,low,shoe:up height,2,shoe,up height
13403,47,9535,18,high,shoe:heel type,2,shoe,heel type
13404,245,9536,8,straight,dress:silhouette,2,dress,silhouette
13405,171,9537,14,casual,dress:occasion,2,dress,occasion
13406,7,9537,6,purple,dress:color,2,dress,color
13410,367,9539,21,velour,outerwear:material,2,outerwear,material
13411,72,9540,14,red carpet,dress:occasion,2,dress,occasion
13412,106,9541,17,light blue,outerwear:color,2,outerwear,color
13413,130,9542,30,platform,shoe:decoration,2,shoe,decoration
13414,130,9542,41,platform,shoe:back counter type,2,shoe,back counter type
13415,131,9542,18,platforms,shoe:heel type,2,shoe,heel type
13416,27,9543,13,coats,outerwear:type,2,outerwear,type
13417,15,9543,17,navy,outerwear:color,2,outerwear,color
13418,39,9544,6,green,dress:color,2,dress,color
13419,337,9544,7,metal,dress:material,2,dress,material
13420,195,9544,5,slit,dress:decoration,2,dress,decoration
13426,39,9546,17,green,outerwear:color,2,outerwear,color
13435,39,9554,17,green,outerwear:color,2,outerwear,color
13436,2,9554,20,adult,outerwear:age,2,outerwear,age
13437,1,9554,15,men,outerwear:gender,2,outerwear,gender
13438,77,9555,5,beading,dress:decoration,2,dress,decoration
13440,81,9557,6,dark blue,dress:color,2,dress,color
13441,26,9558,14,wedding,dress:occasion,2,dress,occasion
13442,357,9559,14,communion,dress:occasion,2,dress,occasion
13443,119,9560,37,patchwork,dress:pattern,2,dress,pattern
13445,156,9562,3,burgundy,shoe:color,2,shoe,color
13446,28,9563,17,camel,outerwear:color,2,outerwear,color
13447,126,9564,34,loafers,shoe:flat type,2,shoe,flat type
13448,126,9564,9,loafers,shoe:type,2,shoe,type
13449,101,9565,21,wool,outerwear:material,2,outerwear,material
13450,71,9565,13,jackets,outerwear:type,2,outerwear,type
13451,285,9565,21,herringbone,outerwear:material,2,outerwear,material
13453,61,9567,17,yellow,outerwear:color,2,outerwear,color
13456,123,9569,21,faux fur,outerwear:material,2,outerwear,material
13457,215,9570,14,summer,dress:occasion,2,dress,occasion
13458,49,9570,37,stripe,dress:pattern,2,dress,pattern
13459,195,9571,5,slit,dress:decoration,2,dress,decoration
13460,113,9572,11,denim,pants:color,2,pants,color
13461,113,9572,26,denim,pants:material,2,pants,material
13462,39,9573,17,green,outerwear:color,2,outerwear,color
13464,215,9575,14,summer,dress:occasion,2,dress,occasion
13465,205,9576,38,strapless,dress:collar,2,dress,collar
13470,169,9579,6,orange,dress:color,2,dress,color
13471,1,9580,1,men,shoe:gender,2,shoe,gender
13472,2,9580,2,adult,shoe:age,2,shoe,age
13475,322,9583,14,business,dress:occasion,2,dress,occasion
13476,38,9584,11,khaki,pants:color,2,pants,color
13477,2,9584,31,adult,pants:age,2,pants,age
13478,178,9584,11,brown,pants:color,2,pants,color
13479,4,9584,32,women,pants:gender,2,pants,gender
13480,17,9584,11,beige,pants:color,2,pants,color
13483,3,9586,6,black,dress:color,2,dress,color
13484,9,9587,8,mermaid,dress:silhouette,2,dress,silhouette
13485,245,9588,22,straight,pants:fit,2,pants,fit
13486,2,9588,31,adult,pants:age,2,pants,age
13487,1,9588,32,men,pants:gender,2,pants,gender
13488,239,9589,13,raincoats,outerwear:type,2,outerwear,type
13489,1,9589,15,men,outerwear:gender,2,outerwear,gender
13494,186,9593,5,vintage,dress:decoration,2,dress,decoration
13497,28,9595,17,camel,outerwear:color,2,outerwear,color
13498,39,9596,11,green,pants:color,2,pants,color
13499,7,9597,6,purple,dress:color,2,dress,color
13500,194,9598,36,alligator,shoe:material,2,shoe,material
13501,61,9599,17,yellow,outerwear:color,2,outerwear,color
13503,60,9601,13,parka,outerwear:type,2,outerwear,type
13504,17,9602,3,beige,shoe:color,2,shoe,color
13505,103,9603,14,quinceanera,dress:occasion,2,dress,occasion
13506,30,9604,12,short,dress:length,2,dress,length
13507,169,9604,6,orange,dress:color,2,dress,color
13508,233,9605,5,feathers,dress:decoration,2,dress,decoration
13511,180,9607,16,pointed toe,shoe:toe shape,2,shoe,toe shape
13512,92,9607,36,leather,shoe:material,2,shoe,material
13513,165,9607,9,pump,shoe:type,2,shoe,type
13514,184,9608,41,ankle strap,shoe:back counter type,2,shoe,back counter type
13515,184,9608,10,ankle strap,shoe:closure type,2,shoe,closure type
13516,37,9609,17,white,outerwear:color,2,outerwear,color
13517,107,9610,25,print,pants:pattern,2,pants,pattern
13518,107,9610,24,print,pants:decoration,2,pants,decoration
13519,116,9610,25,leopard,pants:pattern,2,pants,pattern
13520,107,9610,11,print,pants:color,2,pants,color
13521,116,9610,11,leopard,pants:color,2,pants,color
13522,23,9611,17,red,outerwear:color,2,outerwear,color
13524,49,9613,37,stripe,dress:pattern,2,dress,pattern
13525,24,9614,26,lace,pants:material,2,pants,material
13526,24,9614,24,lace,pants:decoration,2,pants,decoration
13527,368,9615,25,galaxy,pants:pattern,2,pants,pattern
13528,144,9616,23,pants,pants:type,2,pants,type
13529,361,9617,8,tutu,dress:silhouette,2,dress,silhouette
13530,139,9618,7,tulle,dress:material,2,dress,material
13533,92,9620,36,leather,shoe:material,2,shoe,material
13534,1,9620,1,men,shoe:gender,2,shoe,gender
13535,190,9620,30,fringe,shoe:decoration,2,shoe,decoration
13538,74,9623,14,club,dress:occasion,2,dress,occasion
13541,88,9626,21,fleece,outerwear:material,2,outerwear,material
13542,252,9627,26,knitted,pants:material,2,pants,material
13545,340,9630,14,street,dress:occasion,2,dress,occasion
13549,178,9633,3,brown,shoe:color,2,shoe,color
13550,104,9634,19,collarless,outerwear:collar,2,outerwear,collar
13552,133,9636,14,evening,dress:occasion,2,dress,occasion
13553,134,9636,14,formal,dress:occasion,2,dress,occasion
13554,4,9636,40,women,dress:gender,2,dress,gender
13555,26,9636,14,wedding,dress:occasion,2,dress,occasion
13558,128,9639,9,sandals,shoe:type,2,shoe,type
13559,184,9639,10,ankle strap,shoe:closure type,2,shoe,closure type
13560,184,9639,41,ankle strap,shoe:back counter type,2,shoe,back counter type
13562,181,9641,24,high waisted,pants:decoration,2,pants,decoration
13569,64,9644,21,satin,outerwear:material,2,outerwear,material
13570,130,9645,30,platform,shoe:decoration,2,shoe,decoration
13571,131,9645,18,platforms,shoe:heel type,2,shoe,heel type
13572,130,9645,41,platform,shoe:back counter type,2,shoe,back counter type
13573,8,9646,21,velvet,outerwear:material,2,outerwear,material
13578,40,9651,6,silver,dress:color,2,dress,color
13579,179,9652,6,turquoise,dress:color,2,dress,color
13585,215,9654,14,summer,dress:occasion,2,dress,occasion
13587,31,9656,13,blazers,outerwear:type,2,outerwear,type
13588,285,9656,21,herringbone,outerwear:material,2,outerwear,material
13590,116,9658,33,leopard,outerwear:pattern,2,outerwear,pattern
13591,42,9659,29,kids,dress:age,2,dress,age
13592,1,9660,15,men,outerwear:gender,2,outerwear,gender
13593,2,9660,20,adult,outerwear:age,2,outerwear,age
13594,111,9661,6,gray,dress:color,2,dress,color
13595,8,9662,21,velvet,outerwear:material,2,outerwear,material
13596,62,9663,36,fur,shoe:material,2,shoe,material
13597,62,9663,30,fur,shoe:decoration,2,shoe,decoration
13598,23,9664,3,red,shoe:color,2,shoe,color
13599,165,9664,9,pump,shoe:type,2,shoe,type
13606,81,9668,3,dark blue,shoe:color,2,shoe,color
13607,144,9669,23,pants,pants:type,2,pants,type
13608,50,9670,7,chiffon,dress:material,2,dress,material
13609,111,9671,6,gray,dress:color,2,dress,color
13610,20,9671,6,blue,dress:color,2,dress,color
13612,17,9673,6,beige,dress:color,2,dress,color
13613,247,9674,6,light purple,dress:color,2,dress,color
13616,112,9677,21,cotton,outerwear:material,2,outerwear,material
13618,57,9679,10,laceup,shoe:closure type,2,shoe,closure type
13619,357,9680,14,communion,dress:occasion,2,dress,occasion
13620,22,9681,9,boot,shoe:type,2,shoe,type
13621,216,9682,24,drawstring,pants:decoration,2,pants,decoration
13624,29,9684,30,wedges,shoe:decoration,2,shoe,decoration
13625,29,9684,18,wedges,shoe:heel type,2,shoe,heel type
13626,169,9685,6,orange,dress:color,2,dress,color
13628,178,9687,11,brown,pants:color,2,pants,color
13630,181,9689,24,high waisted,pants:decoration,2,pants,decoration
13631,71,9690,13,jackets,outerwear:type,2,outerwear,type
13632,23,9690,17,red,outerwear:color,2,outerwear,color
13633,142,9691,23,sports,pants:type,2,pants,type
13634,30,9692,27,short,outerwear:length,2,outerwear,length
13635,176,9693,26,linen,pants:material,2,pants,material
13636,15,9694,3,navy,shoe:color,2,shoe,color
13637,131,9695,18,platforms,shoe:heel type,2,shoe,heel type
13638,130,9695,41,platform,shoe:back counter type,2,shoe,back counter type
13639,130,9695,30,platform,shoe:decoration,2,shoe,decoration
13643,180,9699,16,pointed toe,shoe:toe shape,2,shoe,toe shape
13644,186,9700,5,vintage,dress:decoration,2,dress,decoration
13645,44,9701,13,vests,outerwear:type,2,outerwear,type
13646,47,9702,18,high,shoe:heel type,2,shoe,heel type
13647,2,9703,20,adult,outerwear:age,2,outerwear,age
13648,36,9703,19,hooded,outerwear:collar,2,outerwear,collar
13649,1,9703,15,men,outerwear:gender,2,outerwear,gender
13651,112,9705,21,cotton,outerwear:material,2,outerwear,material
13652,320,9706,16,open toe,shoe:toe shape,2,shoe,toe shape
13653,25,9706,16,peep toe,shoe:toe shape,2,shoe,toe shape
13654,57,9706,10,laceup,shoe:closure type,2,shoe,closure type
13655,61,9707,11,yellow,pants:color,2,pants,color
13656,47,9708,18,high,shoe:heel type,2,shoe,heel type
13657,111,9709,17,gray,outerwear:color,2,outerwear,color
13658,235,9710,12,floor length,dress:length,2,dress,length
13659,163,9711,8,shift,dress:silhouette,2,dress,silhouette
13660,283,9712,30,buckle,shoe:decoration,2,shoe,decoration
13661,283,9712,10,buckle,shoe:closure type,2,shoe,closure type
13662,68,9713,30,led,shoe:decoration,2,shoe,decoration
13665,118,9716,3,grey,shoe:color,2,shoe,color
13666,322,9717,14,business,dress:occasion,2,dress,occasion
13667,185,9718,30,metallic,shoe:decoration,2,shoe,decoration
13668,169,9719,6,orange,dress:color,2,dress,color
13672,222,9722,14,performance,dress:occasion,2,dress,occasion
13673,15,9723,17,navy,outerwear:color,2,outerwear,color
13674,176,9724,7,linen,dress:material,2,dress,material
13676,61,9726,17,yellow,outerwear:color,2,outerwear,color
13680,119,9730,37,patchwork,dress:pattern,2,dress,pattern
13681,90,9731,14,office,dress:occasion,2,dress,occasion
13682,292,9732,30,bling,shoe:decoration,2,shoe,decoration
13683,41,9732,3,pink,shoe:color,2,shoe,color
13684,107,9733,24,print,pants:decoration,2,pants,decoration
13685,107,9733,11,print,pants:color,2,pants,color
13686,107,9733,25,print,pants:pattern,2,pants,pattern
13688,229,9735,30,tassel,shoe:decoration,2,shoe,decoration
13689,43,9735,36,suede,shoe:material,2,shoe,material
13690,42,9736,31,kids,pants:age,2,pants,age
13691,64,9737,7,satin,dress:material,2,dress,material
13692,173,9738,33,camo,outerwear:pattern,2,outerwear,pattern
13693,304,9739,14,bridesmaid,dress:occasion,2,dress,occasion
13697,205,9742,38,strapless,dress:collar,2,dress,collar
13698,40,9742,6,silver,dress:color,2,dress,color
13699,180,9743,16,pointed toe,shoe:toe shape,2,shoe,toe shape
13700,171,9744,14,casual,dress:occasion,2,dress,occasion
13701,126,9745,9,loafers,shoe:type,2,shoe,type
13702,126,9745,34,loafers,shoe:flat type,2,shoe,flat type
13715,117,9754,30,glitter,shoe:decoration,2,shoe,decoration
13717,61,9756,11,yellow,pants:color,2,pants,color
13718,154,9757,9,canvas,shoe:type,2,shoe,type
13719,154,9757,36,canvas,shoe:material,2,shoe,material
13720,84,9758,3,gold,shoe:color,2,shoe,color
13721,62,9759,21,fur,outerwear:material,2,outerwear,material
13722,213,9760,5,draped,dress:decoration,2,dress,decoration
13723,161,9761,8,trumpet,dress:silhouette,2,dress,silhouette
13726,322,9763,14,business,dress:occasion,2,dress,occasion
13727,221,9764,30,waterproof,shoe:decoration,2,shoe,decoration
13728,92,9764,36,leather,shoe:material,2,shoe,material
13729,20,9765,17,blue,outerwear:color,2,outerwear,color
13730,318,9766,8,asymmetrical,dress:silhouette,2,dress,silhouette
13731,41,9767,11,pink,pants:color,2,pants,color
13732,156,9768,6,burgundy,dress:color,2,dress,color
13734,244,9770,23,harem,pants:type,2,pants,type
13735,154,9771,36,canvas,shoe:material,2,shoe,material
13736,154,9771,9,canvas,shoe:type,2,shoe,type
13739,8,9773,21,velvet,outerwear:material,2,outerwear,material
13744,90,9775,14,office,dress:occasion,2,dress,occasion
13745,41,9776,3,pink,shoe:color,2,shoe,color
13746,6,9777,5,printed,dress:decoration,2,dress,decoration
13749,94,9780,7,faux leather,dress:material,2,dress,material
13750,7,9781,6,purple,dress:color,2,dress,color
13751,97,9781,6,lavender,dress:color,2,dress,color
13752,127,9782,3,nude,shoe:color,2,shoe,color
13753,118,9783,11,grey,pants:color,2,pants,color
13755,39,9785,3,green,shoe:color,2,shoe,color
13759,297,9787,6,wine,dress:color,2,dress,color
13760,47,9788,18,high,shoe:heel type,2,shoe,heel type
13763,8,9791,21,velvet,outerwear:material,2,outerwear,material
13764,23,9792,17,red,outerwear:color,2,outerwear,color
13765,16,9793,7,silk,dress:material,2,dress,material
13767,143,9795,14,halloween,dress:occasion,2,dress,occasion
13768,131,9796,18,platforms,shoe:heel type,2,shoe,heel type
13769,130,9796,41,platform,shoe:back counter type,2,shoe,back counter type
13770,130,9796,30,platform,shoe:decoration,2,shoe,decoration
13773,43,9799,36,suede,shoe:material,2,shoe,material
13774,29,9799,18,wedges,shoe:heel type,2,shoe,heel type
13775,29,9799,30,wedges,shoe:decoration,2,shoe,decoration
13776,28,9800,17,camel,outerwear:color,2,outerwear,color
13777,157,9800,28,sleeveless,outerwear:sleeve length,2,outerwear,sleeve length
13778,49,9801,37,stripe,dress:pattern,2,dress,pattern
13779,205,9801,38,strapless,dress:collar,2,dress,collar
13788,163,9806,8,shift,dress:silhouette,2,dress,silhouette
13789,4,9807,32,women,pants:gender,2,pants,gender
13790,111,9808,11,gray,pants:color,2,pants,color
13791,203,9808,11,dark grey,pants:color,2,pants,color
13793,213,9810,5,draped,dress:decoration,2,dress,decoration
13794,84,9811,3,gold,shoe:color,2,shoe,color
13795,156,9812,17,burgundy,outerwear:color,2,outerwear,color
13796,49,9813,37,stripe,dress:pattern,2,dress,pattern
13798,264,9815,6,mint,dress:color,2,dress,color
13801,123,9818,21,faux fur,outerwear:material,2,outerwear,material
13802,23,9819,3,red,shoe:color,2,shoe,color
13803,5,9819,18,flat,shoe:heel type,2,shoe,heel type
13804,5,9819,9,flat,shoe:type,2,shoe,type
13807,94,9821,21,faux leather,outerwear:material,2,outerwear,material
13810,18,9823,4,low,shoe:up height,2,shoe,up height
13811,154,9823,9,canvas,shoe:type,2,shoe,type
13812,354,9823,36,cloth,shoe:material,2,shoe,material
13813,154,9823,36,canvas,shoe:material,2,shoe,material
13814,3,9824,6,black,dress:color,2,dress,color
13815,359,9824,14,homecoming,dress:occasion,2,dress,occasion
13816,30,9824,12,short,dress:length,2,dress,length
13817,73,9825,34,boat,shoe:flat type,2,shoe,flat type
13818,135,9826,36,pvc,shoe:material,2,shoe,material
13819,231,9827,37,polka dot,dress:pattern,2,dress,pattern
13820,42,9828,29,kids,dress:age,2,dress,age
13821,118,9829,11,grey,pants:color,2,pants,color
13822,2,9830,29,adult,dress:age,2,dress,age
13823,4,9830,40,women,dress:gender,2,dress,gender
13824,215,9831,14,summer,dress:occasion,2,dress,occasion
13825,101,9832,26,wool,pants:material,2,pants,material
13829,14,9835,12,midi,dress:length,2,dress,length
13832,116,9838,33,leopard,outerwear:pattern,2,outerwear,pattern
13833,27,9838,13,coats,outerwear:type,2,outerwear,type
13834,294,9839,14,date,dress:occasion,2,dress,occasion
13836,179,9841,6,turquoise,dress:color,2,dress,color
13837,144,9842,23,pants,pants:type,2,pants,type
13838,3,9842,11,black,pants:color,2,pants,color
13839,34,9843,12,long,dress:length,2,dress,length
13840,133,9843,14,evening,dress:occasion,2,dress,occasion
13841,250,9843,35,half,dress:sleeve length,2,dress,sleeve length
13842,74,9844,14,club,dress:occasion,2,dress,occasion
13843,206,9844,5,strappy,dress:decoration,2,dress,decoration
13844,37,9845,3,white,shoe:color,2,shoe,color
13845,49,9846,37,stripe,dress:pattern,2,dress,pattern
13846,190,9847,30,fringe,shoe:decoration,2,shoe,decoration
13853,72,9850,14,red carpet,dress:occasion,2,dress,occasion
13854,116,9851,37,leopard,dress:pattern,2,dress,pattern
13855,119,9852,25,patchwork,pants:pattern,2,pants,pattern
13856,119,9852,24,patchwork,pants:decoration,2,pants,decoration
13857,36,9853,19,hooded,outerwear:collar,2,outerwear,collar
13861,178,9855,3,brown,shoe:color,2,shoe,color
13862,100,9856,21,woolen,outerwear:material,2,outerwear,material
13863,1,9857,32,men,pants:gender,2,pants,gender
13864,34,9857,44,long,pants:length,2,pants,length
13865,38,9857,11,khaki,pants:color,2,pants,color
13866,112,9857,26,cotton,pants:material,2,pants,material
13867,2,9857,31,adult,pants:age,2,pants,age
13869,109,9859,30,hollow,shoe:decoration,2,shoe,decoration
13870,303,9860,39,double breasted,outerwear:closure type,2,outerwear,closure type
13873,157,9863,28,sleeveless,outerwear:sleeve length,2,outerwear,sleeve length
13874,130,9864,41,platform,shoe:back counter type,2,shoe,back counter type
13875,10,9864,9,sneaker,shoe:type,2,shoe,type
13876,130,9864,30,platform,shoe:decoration,2,shoe,decoration
13877,131,9864,18,platforms,shoe:heel type,2,shoe,heel type
13878,4,9864,1,women,shoe:gender,2,shoe,gender
13880,88,9866,21,fleece,outerwear:material,2,outerwear,material
13882,66,9868,5,plain,dress:decoration,2,dress,decoration
13883,14,9869,12,midi,dress:length,2,dress,length
13884,44,9870,13,vests,outerwear:type,2,outerwear,type
13885,44,9871,13,vests,outerwear:type,2,outerwear,type
13886,157,9871,28,sleeveless,outerwear:sleeve length,2,outerwear,sleeve length
13888,29,9873,30,wedges,shoe:decoration,2,shoe,decoration
13889,29,9873,18,wedges,shoe:heel type,2,shoe,heel type
13890,119,9874,33,patchwork,outerwear:pattern,2,outerwear,pattern
13891,49,9875,37,stripe,dress:pattern,2,dress,pattern
13897,235,9878,12,floor length,dress:length,2,dress,length
13898,34,9878,35,long,dress:sleeve length,2,dress,sleeve length
13899,40,9879,6,silver,dress:color,2,dress,color
13900,332,9880,5,ruched,dress:decoration,2,dress,decoration
13901,140,9881,23,flare,pants:type,2,pants,type
13902,34,9882,27,long,outerwear:length,2,outerwear,length
13903,144,9883,23,pants,pants:type,2,pants,type
13904,113,9883,11,denim,pants:color,2,pants,color
13905,113,9883,26,denim,pants:material,2,pants,material
13907,15,9885,17,navy,outerwear:color,2,outerwear,color
13908,233,9886,5,feathers,dress:decoration,2,dress,decoration
13910,75,9888,35,cap,dress:sleeve length,2,dress,sleeve length
13912,53,9890,30,embroider,shoe:decoration,2,shoe,decoration
13913,49,9891,37,stripe,dress:pattern,2,dress,pattern
13914,2,9892,31,adult,pants:age,2,pants,age
13915,176,9892,26,linen,pants:material,2,pants,material
13916,1,9892,32,men,pants:gender,2,pants,gender
13917,180,9893,16,pointed toe,shoe:toe shape,2,shoe,toe shape
13920,189,9896,21,sheepskin,outerwear:material,2,outerwear,material
13921,129,9897,24,camouflage,pants:decoration,2,pants,decoration
13922,129,9897,25,camouflage,pants:pattern,2,pants,pattern
13923,173,9897,11,camo,pants:color,2,pants,color
13924,129,9897,11,camouflage,pants:color,2,pants,color
13925,173,9897,25,camo,pants:pattern,2,pants,pattern
13931,42,9900,2,kids,shoe:age,2,shoe,age
13932,85,9901,26,jersey,pants:material,2,pants,material
13933,140,9901,23,flare,pants:type,2,pants,type
13934,107,9902,25,print,pants:pattern,2,pants,pattern
13935,107,9902,24,print,pants:decoration,2,pants,decoration
13936,107,9902,11,print,pants:color,2,pants,color
13938,57,9904,10,laceup,shoe:closure type,2,shoe,closure type
13939,173,9905,33,camo,outerwear:pattern,2,outerwear,pattern
13940,59,9906,24,embroidery,pants:decoration,2,pants,decoration
13943,23,9909,3,red,shoe:color,2,shoe,color
13944,98,9910,6,royal blue,dress:color,2,dress,color
13945,153,9911,23,cargo,pants:type,2,pants,type
13947,69,9913,21,windstopper,outerwear:material,2,outerwear,material
13948,274,9914,17,army green,outerwear:color,2,outerwear,color
13954,156,9918,3,burgundy,shoe:color,2,shoe,color
13955,145,9919,22,slim,pants:fit,2,pants,fit
13956,264,9920,6,mint,dress:color,2,dress,color
13960,116,9923,33,leopard,outerwear:pattern,2,outerwear,pattern
13961,108,9924,24,sequined,pants:decoration,2,pants,decoration
13964,30,9926,12,short,dress:length,2,dress,length
13965,122,9926,14,cocktail,dress:occasion,2,dress,occasion
13966,40,9926,6,silver,dress:color,2,dress,color
13967,3,9927,17,black,outerwear:color,2,outerwear,color
13968,36,9928,19,hooded,outerwear:collar,2,outerwear,collar
13969,130,9929,41,platform,shoe:back counter type,2,shoe,back counter type
13970,37,9929,3,white,shoe:color,2,shoe,color
13971,131,9929,18,platforms,shoe:heel type,2,shoe,heel type
13972,130,9929,30,platform,shoe:decoration,2,shoe,decoration
13974,20,9931,17,blue,outerwear:color,2,outerwear,color
13975,62,9932,21,fur,outerwear:material,2,outerwear,material
13976,123,9932,21,faux fur,outerwear:material,2,outerwear,material
13983,50,9936,21,chiffon,outerwear:material,2,outerwear,material
13986,309,9939,3,ivory,shoe:color,2,shoe,color
13990,112,9942,7,cotton,dress:material,2,dress,material
13994,139,9944,7,tulle,dress:material,2,dress,material
13995,227,9945,19,pillow,outerwear:collar,2,outerwear,collar
13998,15,9947,3,navy,shoe:color,2,shoe,color
13999,185,9948,30,metallic,shoe:decoration,2,shoe,decoration
14000,318,9949,8,asymmetrical,dress:silhouette,2,dress,silhouette
14002,149,9951,5,ruffles,dress:decoration,2,dress,decoration
14003,28,9952,17,camel,outerwear:color,2,outerwear,color
14004,27,9952,13,coats,outerwear:type,2,outerwear,type
14006,41,9954,6,pink,dress:color,2,dress,color
14007,195,9954,5,slit,dress:decoration,2,dress,decoration
14009,92,9956,7,leather,dress:material,2,dress,material
14010,4,9957,1,women,shoe:gender,2,shoe,gender
14011,2,9957,2,adult,shoe:age,2,shoe,age
14012,53,9957,30,embroider,shoe:decoration,2,shoe,decoration
14016,88,9960,21,fleece,outerwear:material,2,outerwear,material
14019,27,9963,13,coats,outerwear:type,2,outerwear,type
14020,49,9964,37,stripe,dress:pattern,2,dress,pattern
14021,23,9965,17,red,outerwear:color,2,outerwear,color
14023,16,9967,26,silk,pants:material,2,pants,material
14024,29,9968,30,wedges,shoe:decoration,2,shoe,decoration
14025,29,9968,18,wedges,shoe:heel type,2,shoe,heel type
14026,22,9968,9,boot,shoe:type,2,shoe,type
14027,7,9969,17,purple,outerwear:color,2,outerwear,color
14028,224,9970,6,emerald,dress:color,2,dress,color
14035,186,9973,5,vintage,dress:decoration,2,dress,decoration
14036,34,9973,12,long,dress:length,2,dress,length
14037,133,9973,14,evening,dress:occasion,2,dress,occasion
14038,93,9974,22,leggings,pants:fit,2,pants,fit
14039,93,9974,23,leggings,pants:type,2,pants,type
14044,55,9977,25,floral,pants:pattern,2,pants,pattern
14047,238,9980,37,plaid,dress:pattern,2,dress,pattern
14048,31,9981,13,blazers,outerwear:type,2,outerwear,type
14049,1,9981,15,men,outerwear:gender,2,outerwear,gender
14050,2,9981,20,adult,outerwear:age,2,outerwear,age
14051,242,9982,14,suit,dress:occasion,2,dress,occasion
14053,77,9984,5,beading,dress:decoration,2,dress,decoration
14066,299,9993,38,shoulderless,dress:collar,2,dress,collar
14074,42,9998,29,kids,dress:age,2,dress,age
14075,199,9999,5,pleat,dress:decoration,2,dress,decoration
14078,231,10002,37,polka dot,dress:pattern,2,dress,pattern
14079,57,10003,10,laceup,shoe:closure type,2,shoe,closure type
14081,42,10005,2,kids,shoe:age,2,shoe,age
14082,42,10006,31,kids,pants:age,2,pants,age
14083,128,10007,9,sandals,shoe:type,2,shoe,type
14084,84,10007,3,gold,shoe:color,2,shoe,color
14085,41,10008,3,pink,shoe:color,2,shoe,color
14086,170,10009,9,clogs,shoe:type,2,shoe,type
14087,151,10010,24,jogging,pants:decoration,2,pants,decoration
14088,113,10011,26,denim,pants:material,2,pants,material
14089,113,10011,11,denim,pants:color,2,pants,color
14090,49,10012,26,stripe,pants:material,2,pants,material
14091,48,10012,25,striped,pants:pattern,2,pants,pattern
14092,144,10013,23,pants,pants:type,2,pants,type
14093,80,10014,19,turtle neck,outerwear:collar,2,outerwear,collar
14095,373,10016,38,turtleneck,dress:collar,2,dress,collar
